project_type,location_tier,size_sqft,num_floors,material_grade,duration_weeks,labor_cost,material_cost,total_cost
Commercial,Tier2,50603,16,Premium,47,128897452.15,151200916.98,383531332.1
Residential,Tier3,4457,3,Budget,8,2432499.79,2702025.9,6481744.35
Industrial,Tier2,162810,7,Premium,68,250778945.16,273376236.06,716504328.83
Commercial,Tier3,79603,10,Standard,28,94329071.39,126139526.83,301581668.23
Industrial,Tier2,198570,9,Premium,71,328868717.25,401326224.12,918053931.25
Industrial,Tier2,31120,8,Standard,47,34875361.03,39500345.91,105686938.92
Commercial,Tier3,79971,10,Premium,41,124430334.08,183664931.26,410065260.06
Industrial,Tier2,42852,5,Standard,83,49392690.77,52809323.39,135883481.77
Residential,Tier1,1743,3,Standard,32,2689727.18,2625829.42,6970133.02
Residential,Tier1,4476,1,Standard,47,5168810.99,6060073.35,15453413.4
Residential,Tier3,3597,2,Standard,37,2712273.16,2875556.92,8000108.32
Residential,Tier2,509,1,Standard,16,696860.05,649343.49,1790943.64
Residential,Tier3,2925,2,Premium,45,3484779.67,3576911.23,9137748.11
Residential,Tier1,2160,1,Premium,12,3445056.39,3952772.06,9273486.23
Industrial,Tier1,25744,3,Standard,36,33736839.43,45694644.68,103844096.03
Residential,Tier1,1572,2,Standard,34,2523145.51,2687432.12,6452700.03
Residential,Tier2,3725,2,Standard,10,2911605.28,3327708.55,9230252.13
Commercial,Tier2,54733,6,Standard,48,88854439.93,102212830.22,244996035.61
Residential,Tier2,4645,2,Budget,22,2751761.25,3757166.49,9085314.91
Industrial,Tier2,118746,9,Budget,78,112126555.34,132499341.86,307725514.85
Residential,Tier3,3773,2,Standard,33,2840854.05,3749422.93,8668687.56
Industrial,Tier2,27597,1,Budget,58,20674970.43,26179978.59,59933062.03
Commercial,Tier2,45785,12,Budget,98,60502590.96,70791142.01,180860407.35
Residential,Tier3,1962,1,Budget,24,1075130.95,1422502.35,3388633.39
Residential,Tier2,2084,3,Budget,34,1855319.78,1930244.75,5122389.89
Industrial,Tier2,177489,3,Budget,71,152009928.37,176184464.82,391578788.19
Commercial,Tier3,52299,12,Premium,57,111665774.56,103662619.87,282049503.69
Commercial,Tier3,22073,17,Standard,96,32494200.23,35728692.38,101787827.94
Commercial,Tier1,35682,19,Standard,38,107882796.51,105892981.95,290212478.19
Residential,Tier3,1161,1,Standard,13,857083.8,1000120.49,2338985.87
Residential,Tier2,4003,1,Budget,5,2238950.81,2643032.01,6696673.1
Residential,Tier1,3352,3,Premium,5,4440498.08,5805992.49,14708023.11
Industrial,Tier2,51778,6,Standard,67,61788207.32,74602561.85,167457189.79
Commercial,Tier3,70428,5,Budget,66,70805443.76,79314312.15,179458968.44
Residential,Tier2,2046,3,Standard,35,2414816.19,2533874.0,6648503.1
Residential,Tier2,1149,1,Premium,19,1387110.51,1497652.14,4037823.32
Residential,Tier2,1468,2,Premium,19,1926361.99,2376279.48,5464618.14
Residential,Tier1,3137,3,Standard,49,3971465.03,5468868.96,12412268.02
Commercial,Tier1,25644,7,Standard,27,60110994.54,64775776.52,160272728.22
Commercial,Tier1,23745,2,Budget,35,36706926.27,40459547.67,97978678.13
Industrial,Tier1,40538,6,Premium,86,75693597.49,90406229.1,240639584.1
Residential,Tier1,1843,3,Budget,27,2232207.05,2475589.38,5756110.1
Residential,Tier1,4858,3,Premium,4,6893229.98,8712761.4,21085438.67
Commercial,Tier2,23322,11,Standard,79,47900217.37,48155910.74,120284121.96
Commercial,Tier1,62714,18,Standard,97,169819667.69,178715277.8,501993899.86
Commercial,Tier2,67292,10,Standard,96,106158515.42,147516111.72,334054085.87
Commercial,Tier3,34055,7,Budget,90,31597896.66,38797872.25,94273673.25
Residential,Tier2,3851,1,Budget,29,2536455.9,2722632.89,7373031.81
Commercial,Tier2,11588,8,Budget,90,13780298.27,18436478.08,44897088.49
Residential,Tier1,4102,2,Budget,15,3793900.82,4429266.18,10602764.89
Residential,Tier1,1741,3,Standard,34,2592544.54,2901071.5,7206251.86
Residential,Tier1,1625,3,Standard,20,2330095.18,2628713.92,6231983.2
Residential,Tier1,3101,3,Budget,36,2883674.88,3885416.35,9519686.86
Commercial,Tier1,20352,19,Premium,20,79007173.8,99232438.8,223106069.17
Residential,Tier1,4631,2,Premium,31,6419172.15,7472153.61,21026422.47
Commercial,Tier1,24446,12,Premium,99,87150636.58,84916066.62,235469442.43
Industrial,Tier1,156570,7,Premium,85,287142195.78,345209437.93,939685067.27
Residential,Tier2,2414,2,Budget,50,2612422.46,2798378.99,6678436.13
Residential,Tier1,2972,3,Standard,31,4032098.8,4515148.39,10891434.02
Commercial,Tier2,76707,19,Standard,31,160026847.87,200390427.67,456256243.49
Residential,Tier2,1207,3,Standard,10,1081943.02,1330735.72,3143808.76
Residential,Tier2,2304,1,Budget,5,1165755.47,1492574.57,3723658.18
Residential,Tier1,4213,2,Premium,45,6606166.39,9016649.57,20073435.48
Residential,Tier3,3064,1,Budget,27,2034537.25,1980451.78,5258616.59
Industrial,Tier2,102302,6,Budget,30,95419512.09,105897305.95,244386388.29
Industrial,Tier1,20138,4,Standard,81,26009625.78,34036299.63,86677149.53
Commercial,Tier3,72169,14,Standard,42,108020885.36,124689214.32,300547540.75
Industrial,Tier3,139619,1,Standard,66,111477733.23,126702935.94,299727677.17
Industrial,Tier1,105376,1,Budget,94,108935416.3,124438714.43,301030762.37
Residential,Tier1,2085,3,Premium,43,3379578.44,3992426.51,10966676.28
Industrial,Tier3,181726,8,Budget,30,113119505.92,138614917.13,351551203.03
Commercial,Tier3,19357,16,Budget,44,21038021.84,26287902.89,64725598.28
Industrial,Tier1,101532,7,Premium,82,233969887.04,265558038.48,610612477.56
Industrial,Tier1,75778,8,Premium,45,161492088.02,183895729.4,466308946.37
Residential,Tier2,841,2,Premium,15,1104764.59,1400033.28,3168394.08
Residential,Tier2,3274,1,Premium,6,3843710.89,3849065.05,9768272.84
Residential,Tier2,3317,3,Standard,45,3645970.72,4058670.39,10024428.43
Residential,Tier2,3161,3,Standard,30,3604437.53,3972047.52,9245305.86
Industrial,Tier2,190492,9,Budget,94,170108286.26,200943690.75,492139014.78
Industrial,Tier3,75568,7,Standard,103,61340778.04,86870545.82,194767485.38
Residential,Tier1,2901,2,Standard,5,3674164.31,3889569.45,9349171.82
Commercial,Tier1,21994,6,Budget,82,35854684.78,41701438.72,103665052.62
Residential,Tier3,4711,1,Standard,23,2799134.85,3099984.81,8797797.36
Residential,Tier3,1161,2,Standard,41,1323938.6,1569025.17,4009024.66
Residential,Tier2,4383,1,Budget,31,2620058.08,3262830.43,8588094.46
Residential,Tier2,4119,1,Budget,28,2853471.25,3495039.45,8227289.35
Industrial,Tier1,104754,2,Standard,73,157403741.29,151486468.59,408508967.94
Residential,Tier2,2834,1,Budget,13,2250315.59,2119675.61,5720781.92
Commercial,Tier2,17819,16,Premium,103,54841549.72,51451667.72,139453590.33
Commercial,Tier1,79905,4,Standard,87,144158401.47,167239834.14,461272931.23
Residential,Tier1,4906,3,Standard,36,5889378.49,6636340.95,17413615.21
Industrial,Tier2,110768,8,Standard,97,113088746.14,163791599.63,373448491.23
Industrial,Tier1,55428,3,Premium,45,115587986.02,128173587.45,299826273.77
Residential,Tier2,2993,2,Standard,45,3032385.09,3823711.39,9028298.89
Residential,Tier1,1132,3,Standard,50,2219724.95,2626989.34,6113063.65
Residential,Tier2,2602,3,Standard,40,2950168.71,2993465.07,7941451.85
Residential,Tier1,3459,2,Budget,19,3053882.97,3906513.19,8903852.1
Residential,Tier3,3583,1,Premium,48,3546368.2,3901237.56,10725631.49
Commercial,Tier2,19939,6,Standard,64,36087132.19,34940756.22,91078225.76
Commercial,Tier2,5781,5,Standard,32,10491706.59,10815257.8,26464214.29
Residential,Tier3,3062,1,Premium,46,3113408.76,3410102.83,9464869.99
Residential,Tier2,2179,3,Premium,30,3023123.89,3675168.24,8688073.59
Industrial,Tier1,96021,9,Standard,30,177950834.12,174116740.82,447917982.71
Residential,Tier2,4943,1,Premium,19,4768060.27,6798402.35,15867783.96
Residential,Tier2,2040,2,Standard,37,2324253.93,2719419.82,6810644.77
Residential,Tier3,4443,1,Standard,35,2860489.43,3395983.49,9226023.52
Industrial,Tier2,36859,2,Standard,47,37422178.42,45160124.92,106641475.79
Residential,Tier1,2868,3,Standard,28,3171011.08,3933682.1,10483825.11
Commercial,Tier1,25354,10,Budget,66,44313342.53,51908252.45,130069455.89
Commercial,Tier2,47951,7,Premium,82,96106963.19,106695359.08,298404045.08
Residential,Tier2,4537,3,Premium,43,5751744.91,6703326.21,16278638.36
Commercial,Tier2,55729,4,Budget,96,72130752.08,75196929.75,180507674.46
Residential,Tier2,1512,1,Premium,15,1930857.99,1970555.97,5080488.49
Commercial,Tier3,23658,10,Budget,94,27491146.99,31843106.69,71486493.89
Commercial,Tier2,26253,6,Standard,38,42983341.56,51720135.25,118239912.94
Commercial,Tier1,69166,11,Standard,54,144475328.3,199878902.8,475004062.09
Residential,Tier1,3285,3,Budget,35,3085085.63,4053725.48,9620456.1
Industrial,Tier1,123065,1,Premium,84,246220704.56,235389502.71,627303579.38
Residential,Tier1,4225,2,Premium,51,6922562.07,8548676.31,20565446.95
Residential,Tier1,2101,3,Standard,23,2507772.79,2988191.55,8080110.56
Residential,Tier1,2908,3,Budget,42,3347627.96,3294822.11,9041765.08
Commercial,Tier1,7551,16,Budget,84,15581775.3,21248854.68,47225261.25
Commercial,Tier1,76947,6,Standard,70,153076164.21,193045309.67,468286524.27
Residential,Tier3,2996,3,Premium,39,3759788.35,3696789.83,9404225.98
Commercial,Tier1,54159,15,Standard,42,156616928.99,153776394.68,405939060.34
Residential,Tier2,2189,2,Budget,30,1756724.73,2115490.04,5154802.76
Commercial,Tier2,38243,17,Standard,38,87483488.93,78017699.89,219793336.07
Residential,Tier3,4906,2,Standard,34,3745345.44,3688466.97,10260902.09
Commercial,Tier1,62828,18,Standard,95,188132759.36,177616806.82,502756896.24
Residential,Tier2,1942,1,Budget,5,1010727.78,1333351.37,3334070.37
Industrial,Tier3,164063,6,Standard,63,126154056.41,165718634.18,404131995.98
Residential,Tier3,2690,3,Standard,18,2041109.71,2001442.79,5618116.94
Residential,Tier3,4937,2,Premium,15,4856547.57,5257874.16,12455803.28
Residential,Tier1,743,1,Standard,40,1380293.17,1420916.94,3809025.35
Industrial,Tier1,56304,3,Standard,100,71671521.75,95710712.95,228688425.17
Industrial,Tier2,181458,3,Premium,32,223057965.98,320860029.32,715902260.34
Residential,Tier3,4637,2,Budget,42,3078983.17,3356847.14,8009454.4
Commercial,Tier2,34139,12,Premium,56,75001145.07,104718967.01,238910232.22
Industrial,Tier2,38354,5,Standard,60,42583141.82,53808462.05,120966863.25
Commercial,Tier1,11530,15,Budget,59,20522464.02,26939381.68,67572269.63
Commercial,Tier3,16116,11,Standard,99,20708018.25,28247695.78,67219208.21
Residential,Tier1,3787,3,Standard,17,4709908.09,5581544.48,12825330.68
Residential,Tier2,4573,3,Budget,40,3692519.12,3860098.1,10009047.3
Industrial,Tier2,170575,7,Standard,43,185584271.76,208906949.86,555397189.61
Industrial,Tier2,145438,1,Standard,81,129974598.83,179731033.26,404198918.16
Commercial,Tier1,11629,11,Standard,35,31035444.72,34393071.14,81378611.69
Residential,Tier1,572,2,Budget,37,998461.35,1154441.92,3103603.7
Residential,Tier2,4994,1,Premium,15,5556385.24,6194935.35,15687020.83
Commercial,Tier1,22071,8,Premium,79,76738777.81,83086468.21,193383919.26
Industrial,Tier2,22384,2,Premium,50,27724825.71,35644655.61,88075366.49
Industrial,Tier1,166144,6,Standard,89,284028548.86,299097153.08,720724350.57
Commercial,Tier2,44901,9,Budget,91,52720436.94,70458075.25,165636846.93
Commercial,Tier2,16205,12,Standard,74,30893772.13,35696269.06,86599198.16
Residential,Tier1,4759,1,Budget,25,3997000.34,4781806.8,11835923.05
Residential,Tier2,594,1,Budget,17,855575.44,917006.58,2157858.39
Industrial,Tier1,41826,4,Standard,93,57527848.39,74293411.61,175735786.75
Commercial,Tier1,67987,2,Standard,25,125427386.38,152368003.17,368941188.52
Residential,Tier3,3446,1,Standard,28,2813511.45,2726573.72,7064047.87
Residential,Tier2,3030,3,Standard,35,3174520.01,3506060.35,8976520.81
Commercial,Tier3,30150,9,Standard,62,40246149.53,51366525.26,114902653.72
Residential,Tier1,1548,3,Budget,48,2042002.12,2264272.96,6268081.53
Residential,Tier2,3029,3,Premium,39,4288072.44,4365856.47,11585115.5
Commercial,Tier3,57756,2,Standard,96,54838389.58,72630987.12,181923041.56
Commercial,Tier2,61481,19,Standard,37,111705241.28,158856674.75,366305225.93
Commercial,Tier2,6283,3,Budget,98,8661194.92,8815962.14,24063162.1
Residential,Tier2,4723,3,Standard,6,3757361.15,4246787.72,11243946.9
Commercial,Tier2,6125,2,Standard,76,11058887.64,9974856.07,27973697.51
Residential,Tier3,4687,2,Budget,35,3058038.19,3295269.07,7834713.78
Residential,Tier3,4224,1,Budget,48,2864819.32,2883721.51,7714178.56
Commercial,Tier3,13438,16,Standard,63,23317123.2,23747839.45,61069235.6
Commercial,Tier1,25095,14,Standard,101,68992130.36,74191367.32,188126226.89
Industrial,Tier3,97949,1,Budget,89,50198355.45,70526618.91,160604821.12
Commercial,Tier3,13004,18,Premium,59,30813066.44,32006026.3,81829004.25
Commercial,Tier1,14752,8,Budget,70,23696845.0,26908151.63,73817532.49
Residential,Tier1,4985,2,Standard,17,5502993.08,6663504.75,16558109.51
Residential,Tier3,3219,1,Premium,42,3629399.88,4241127.49,9502951.85
Residential,Tier2,2384,1,Standard,34,2612423.76,3034338.43,7386978.2
Residential,Tier3,4638,1,Standard,17,3398731.03,3947684.28,8805137.91
Industrial,Tier1,69847,8,Standard,67,102878599.0,138998483.86,320191310.58
Residential,Tier3,3701,3,Budget,15,2172538.57,2129294.28,6021818.15
Industrial,Tier1,76622,7,Premium,74,142287585.53,191870539.66,461404767.05
Commercial,Tier1,5645,18,Standard,76,17512923.05,18203745.99,48072000.67
Commercial,Tier1,35930,8,Premium,50,116875740.85,126104035.95,310630388.12
Commercial,Tier3,35090,2,Budget,40,29609222.0,31214958.97,82593564.21
Commercial,Tier2,57142,18,Budget,59,82445422.59,97152252.64,252417572.23
Residential,Tier2,956,3,Budget,10,604004.32,881329.93,1992530.66
Residential,Tier2,2630,3,Standard,49,2656718.89,3156810.5,8516629.04
Commercial,Tier3,48732,4,Standard,68,58565112.34,70720255.42,161679220.88
Residential,Tier2,4744,1,Premium,18,5928605.38,5319892.13,15068561.71
Residential,Tier3,1679,3,Standard,47,1712695.52,1917982.9,5341266.64
Commercial,Tier2,14346,17,Premium,47,42038630.16,49012929.55,112552438.67
Residential,Tier2,4065,3,Budget,44,3626744.3,3874475.66,9380034.15
Industrial,Tier2,183864,5,Premium,50,270051892.57,325763288.61,767000651.77
Industrial,Tier2,160836,3,Standard,47,172834664.85,174725952.16,471033374.15
Industrial,Tier3,140356,1,Standard,84,115332998.7,122046414.57,302313330.69
Residential,Tier2,2138,1,Premium,8,2147795.5,2791041.72,6586965.58
Residential,Tier1,2648,2,Standard,48,3423433.46,4285724.12,10383808.88
Industrial,Tier3,28068,5,Standard,103,21646120.85,28651297.44,72138646.75
Residential,Tier2,1903,2,Budget,26,1860287.15,2093434.63,4694027.17
Industrial,Tier2,158367,7,Budget,47,151986176.93,162019378.06,387962821.14
Industrial,Tier3,192232,2,Premium,71,215167820.44,251929588.28,571560416.41
Industrial,Tier2,31390,4,Standard,74,30095812.52,41343045.59,97742999.24
Residential,Tier1,919,1,Standard,46,1727931.05,2122866.66,5012123.58
Residential,Tier3,4719,3,Standard,36,3259423.91,3761832.47,10507858.31
Industrial,Tier2,114754,7,Budget,43,84768023.97,108477400.13,281068517.94
Residential,Tier2,2008,1,Budget,38,1847978.99,2227258.73,5110302.78
Residential,Tier1,1267,3,Standard,20,1921632.39,1810906.68,4851590.87
Commercial,Tier3,77516,19,Standard,38,139453975.07,129186193.82,357311531.51
Industrial,Tier2,41281,9,Budget,49,39899320.92,41295417.49,107930666.0
Commercial,Tier2,23058,3,Standard,83,30323078.83,36431457.96,97922500.23
Commercial,Tier3,45718,9,Budget,54,42313646.25,57190194.83,129234961.23
Residential,Tier3,2264,1,Standard,35,1834257.36,2413204.23,5524777.16
Commercial,Tier1,79658,13,Budget,20,160858560.28,170969341.15,427457204.24
Industrial,Tier2,120318,4,Standard,48,137991682.95,129248718.76,362921198.61
Residential,Tier1,4981,2,Standard,23,5552045.6,6912469.35,16401393.04
Commercial,Tier3,6089,5,Standard,68,8144906.45,9826197.39,23830260.06
Industrial,Tier1,175394,6,Budget,55,173562810.21,254859493.55,570084726.22
Commercial,Tier2,79663,18,Budget,38,114856997.83,141739071.2,349201044.72
Commercial,Tier3,15487,14,Standard,42,22751896.57,25290646.44,65922968.97
Commercial,Tier3,5155,19,Standard,102,8940708.61,11528103.08,28683853.84
Residential,Tier2,741,3,Standard,28,1098186.56,1424467.35,3180137.57
Residential,Tier3,2885,2,Budget,34,2137918.08,2328333.71,5548457.14
Industrial,Tier1,42031,9,Standard,95,71707475.31,83533945.79,200226326.88
Industrial,Tier3,100807,5,Premium,71,100760557.33,122416936.9,327258372.47
Industrial,Tier1,91312,8,Standard,48,132852541.37,176638921.34,416247564.68
Industrial,Tier2,79766,9,Budget,46,71805443.86,87836741.89,206661468.75
Commercial,Tier3,46814,4,Standard,38,51580060.95,58574074.41,153444171.13
Commercial,Tier1,68278,15,Budget,53,128980617.77,152981134.86,384016375.91
Commercial,Tier1,60077,9,Budget,99,105278773.46,113193797.45,298302055.62
Commercial,Tier3,76906,5,Premium,74,125201826.01,131290389.94,349296865.5
Commercial,Tier3,14528,12,Budget,37,17010618.81,15796644.91,44801788.25
Commercial,Tier2,55100,12,Standard,53,95183910.24,107840425.24,284899320.09
Industrial,Tier2,120859,5,Standard,84,143390067.52,152753692.08,376800257.45
Residential,Tier2,1093,1,Standard,35,1412934.45,1481913.47,4232102.36
Residential,Tier1,4304,1,Standard,14,4132218.95,5116489.1,13524168.15
Residential,Tier2,1959,3,Budget,42,1960492.43,2416789.05,5516007.09
Commercial,Tier1,58798,3,Standard,67,118472230.8,135171929.47,330199152.81
Residential,Tier3,3101,2,Standard,27,2632089.62,2748037.23,6689700.58
Residential,Tier2,2944,2,Budget,14,2091576.71,2191103.46,5613371.68
Commercial,Tier2,61526,5,Standard,29,104518643.52,111420248.66,266780777.73
Residential,Tier2,4700,1,Budget,29,3749448.63,3539914.09,9593437.92
Commercial,Tier3,55290,10,Budget,37,57001733.92,68295462.66,158137222.82
Residential,Tier1,3691,3,Standard,38,4782179.39,4902727.52,13555844.48
Residential,Tier2,892,3,Budget,23,833652.88,973919.89,2343406.09
Industrial,Tier2,184276,7,Standard,30,238451181.77,230228867.43,599374947.18
Residential,Tier2,1071,1,Standard,6,936983.02,1054776.22,2483279.57
Residential,Tier1,4131,2,Premium,4,5322150.89,6938703.47,17133597.24
Commercial,Tier3,77237,4,Budget,59,72159605.69,75481180.56,190977829.72
Commercial,Tier3,7597,6,Budget,28,6640551.4,7685442.57,20944556.73
Residential,Tier2,4397,2,Budget,20,2975709.08,3570851.6,8631872.63
Commercial,Tier2,7659,8,Standard,45,12142960.38,16924976.0,37823120.74
Residential,Tier3,2779,2,Standard,32,2380476.82,2790829.89,6451885.7
Residential,Tier3,1288,1,Budget,23,1206280.74,1107564.16,3111128.13
Commercial,Tier1,51738,18,Premium,35,182765124.88,215307486.25,555455999.21
Commercial,Tier2,76678,17,Budget,34,101566130.46,145842886.03,329545024.31
Commercial,Tier2,17109,4,Standard,71,24812725.41,30112667.31,75224427.24
Commercial,Tier2,27010,5,Standard,88,44439369.63,50365849.84,121010323.47
Industrial,Tier3,152661,7,Premium,55,172901387.93,229197816.01,519416783.75
Commercial,Tier3,13472,6,Standard,39,15624071.18,20846290.82,47661795.52
Residential,Tier3,4426,2,Premium,38,3936243.25,4946603.55,12360883.52
Commercial,Tier2,66709,13,Standard,37,122778307.77,138228814.57,351044263.37
Residential,Tier1,2648,3,Premium,30,4108992.39,4816091.02,12542907.73
Residential,Tier3,1531,2,Budget,47,1641228.29,1855897.85,4398884.32
Residential,Tier3,3771,3,Premium,15,2998170.5,3690421.06,9745006.4
Residential,Tier1,4076,2,Standard,23,5262785.58,5386101.66,14363368.26
Industrial,Tier3,159316,7,Premium,97,176078484.82,209726656.95,543861686.05
Industrial,Tier3,34743,4,Standard,55,28954349.42,30513857.36,82980888.76
Commercial,Tier2,20282,9,Standard,27,32318752.95,41259078.16,98350178.22
Residential,Tier2,907,2,Standard,42,1537003.73,1699454.83,4128657.62
Residential,Tier2,3211,2,Standard,7,3075748.14,3105038.75,7795966.46
Residential,Tier1,3588,1,Budget,22,3622934.95,3598192.74,9249078.21
Residential,Tier2,2168,1,Budget,41,1974732.51,2429719.1,5510738.57
Commercial,Tier3,53454,13,Budget,61,57126264.08,58223605.79,164980344.52
Commercial,Tier1,33365,12,Budget,32,67409251.24,75367917.15,176542550.99
Commercial,Tier2,77766,16,Premium,55,216788084.15,259081452.12,588566048.21
Residential,Tier2,2450,1,Budget,16,1577227.18,1955135.03,4954281.19
Industrial,Tier2,196481,6,Premium,50,321543675.04,340879729.26,841534869.13
Commercial,Tier3,18947,3,Standard,56,21438750.22,27788556.29,62523980.94
Commercial,Tier2,57142,19,Budget,93,82494390.03,96031184.17,258685358.99
Commercial,Tier2,61307,13,Standard,92,106791886.81,130817884.16,325406706.78
Residential,Tier3,1062,3,Standard,48,1439761.46,1751370.46,4406272.54
Residential,Tier2,4062,1,Standard,25,3370419.91,3599493.16,9577214.23
Residential,Tier1,2989,3,Standard,46,3864478.84,5159926.56,11948165.27
Commercial,Tier2,56875,16,Standard,75,100353501.43,141349744.38,321278582.77
Residential,Tier1,2537,1,Budget,11,1940963.68,2660658.82,6213686.86
Residential,Tier1,3923,3,Premium,11,6249197.66,6444668.87,17439899.45
Residential,Tier2,3067,2,Premium,45,4241770.95,4073667.13,11357548.42
Residential,Tier2,2073,3,Standard,29,1927033.03,2381830.05,5801637.46
Industrial,Tier3,195829,1,Budget,32,95226181.18,111620276.11,313796183.76
Commercial,Tier2,11816,15,Standard,48,21034146.53,28067003.29,67261381.23
Residential,Tier2,1746,2,Budget,26,1534343.63,1579703.25,3919446.61
Residential,Tier2,4219,1,Budget,46,3161955.36,3767676.58,9050853.98
Residential,Tier1,4339,3,Budget,16,3902185.0,4621475.77,11298979.98
Residential,Tier2,859,3,Standard,31,1101282.48,1421966.33,3624965.95
Residential,Tier1,2876,2,Premium,12,4918018.42,4881403.59,13189855.69
Residential,Tier3,3509,3,Standard,23,2712502.04,2925956.81,7688349.49
Residential,Tier1,3493,1,Standard,22,3761191.45,4727212.54,11746084.89
Commercial,Tier2,19849,5,Standard,100,28126303.57,37547888.37,90436130.26
Commercial,Tier1,59869,7,Standard,21,125876717.9,159215348.1,372043416.16
Residential,Tier3,2327,1,Standard,15,1920492.94,2135711.58,5004982.73
Residential,Tier2,2113,2,Premium,18,2833647.5,3278928.18,7331000.15
Commercial,Tier2,28567,2,Budget,89,32205262.28,33841025.66,89388385.96
Commercial,Tier1,40292,9,Premium,86,133607770.29,128000932.65,358434512.71
Industrial,Tier3,167281,2,Standard,100,115573335.44,142675175.61,371003389.01
Commercial,Tier1,56631,6,Standard,101,124512802.37,147248027.73,347013455.2
Residential,Tier3,4714,1,Standard,45,3781593.01,4061214.83,10312594.43
Residential,Tier1,4785,2,Standard,30,5307309.14,7159604.48,16581647.28
Commercial,Tier1,59306,16,Premium,83,238083372.76,248463616.73,613592470.26
Residential,Tier1,2696,1,Premium,41,4186642.48,5804686.43,13103745.71
Commercial,Tier2,70087,15,Standard,102,128640362.81,172681055.21,388233715.94
Industrial,Tier2,149714,4,Budget,36,122557202.69,120822291.78,338503738.14
Commercial,Tier1,63929,17,Standard,79,182146107.45,198069260.69,500628318.31
Residential,Tier3,2921,1,Premium,9,2688856.96,2987082.12,7268389.6
